0 & 1,wordlist-id,wordlist,spelldoctor
0,412,"zz-hem, fringe, border, edge",spelldoctor
0,413,zz-need,spelldoctor
0,415,zz-harp,spelldoctor
0,416,zz-tuft of curly hair,spelldoctor
0,417,zz-on the ground,spelldoctor
0,418,"zz-inclination, balance",spelldoctor
0,419,"zz-oath, evil spirits",spelldoctor
0,469,"zz-domestic, native, indigenous",spelldoctor
0,470,zz-mournful song,spelldoctor
0,471,"zz-find fault with, reveal",spelldoctor
0,472,"zz-pledge, pay, reward",spelldoctor
0,473,"zz-long seat, bench",spelldoctor
0,474,"zz-office, desk, cloth covering for a desk",spelldoctor
0,475,"zz-nut, walnut; kernel; cell, cell nucleus",spelldoctor
0,476,zz-midday meal,spelldoctor
0,518,"zz-inn, shop, hut, hovel",spelldoctor
0,519,"zz-jester, buffoon",spelldoctor
0,520,"zz-flattering, pleasant",spelldoctor
0,521,zz-regal staff,spelldoctor
0,522,"zz-speechless, unable to speak, silent",spelldoctor
0,523,"zz-flat cake, round of bread",spelldoctor
0,866,"zz-quick, lively, eager",spelldoctor
0,868,"zz-entranceway, throat",spelldoctor
0,869,zz-enforced removal,spelldoctor
0,870,"zz-fear, terror",spelldoctor
0,889,zz-heal,spelldoctor
0,932,"zz-leather bag, pouch, ship's hull",spelldoctor
0,1201,"zz-moving back and forth, alternating",spelldoctor
0,1221,zz-scale of medieval musical notes,spelldoctor
0,1222,"zz-hermit, monk",spelldoctor
0,1223,"zz-fence, wall off, stop up; obstruction",spelldoctor
0,1254,"zz-provide water, wet, moisten",spelldoctor
0,1470,"zz-morning, dawn",spelldoctor
0,1472,"zz-ferocious, grim, savage",spelldotor
0,1546,"zz-maiden, virgin, young woman",spelldoctor
0,2487,zz-open space,spelledoctor
0,3391,"zz-leg, leap, spring, bend",spelldoctor
0,3570,zz-cup,spelldoctor
0,3920,"zz-corner, lip of a jug",spelldoctor
0,4361,zz-leaning forward,spelldoctor
0,5375,zz-crane,spelldoctor
0,5906,"zz-hunger, starvation",spelldoctor
0,6094,"zz-sharp, keen, fierce, bitter, tart",spelldoctor
0,6095,"zz-temple, house",spelldoctor
0,6096,"zz-equal, equally",spelldoctor
0,6097,"zz-fix the value of, estimate, consider",spelldoctor
0,6098,"zz-age, everlasting, time, life, generation",spelldoctor
0,6099,"zz-farming, field, country, wild",spelldoctor
0,6100,"zz-do, act",spelldoctor
0,6101,"zz-do, act, drive, set in motion, weigh",spelldoctor
0,6102,"zz-say, speak, affirm",spelldoctor
0,6103,zz-white,spelldoctor
0,6104,"zz-high, grown tall, lofty",spelldoctor
0,6105,"zz-enforce, demand, test, measure out, weigh out",spelldoctor
0,6106,"zz-shameful, base, disgraceful ",spelldoctor
0,7056,"zz-clean, pure, spotless; to clean, make spotless",spelldoctor
0,6107,"zz-begin, grow up, nourished, mature",spelldoctor
0,6108,"zz-another, other, second; by turns with the other",spelldoctor
0,6110,"zz-walk, take steps, move, go around, go",spelldoctor
0,6111,zz-friend,spelldoctor
0,6112,"zz-love, find pleasure in",spelldoctor
0,6113,"zz-large, wide",spelldoctor
0,6116,"zz-year, yearly",spelldoctor
0,6117,"zz-wash, clean",spelldoctor
0,6119,"zz-narrow; to choke, distress, torment; worried, uneasy",spelldoctor
0,6120,zz-open,spelldoctor
0,6121,"zz-suitable, fit, attached",spelldoctor
0,6122,"zz-bond, connection",spelldoctor
0,6123,zz-water,spelldoctor
0,6124,"zz-think, judge",spelldoctor
0,6125,"zz-confine, control, chest, coffer, enclose, hidden",spelldoctor
0,6126,"zz-bow, arch",spelldoctor
0,6127,"zz-burn, be on fire; dry, parched",spelldoctor
0,6128,"zz-arms, weapons",spelldoctor
0,6129,"zz-skill, craft",spelldoctor
0,6130,"zz-rough, irritate",spelldoctor
0,6131,"zz-fire, black (from smoke), frightful, cruel",spelldoctor
0,6133,"zz-increase, enhance; venerable, powerful; diviner, seer, creator",spelldoctor
0,6134,"zz-walk, way, path",spelldoctor
0,6136,"zz-eager, anxious, desire, yearn for; miser, hoarder of money, bold, daring",spelldoctor
0,6137,"zz-bird, birds",spelldoctor
0,6138,"zz-remote ancestor, uncle",spelldoctor
0,6148,zz-air,spelldoctor
0,7935,"zz-leading, draw forth, struggle, contest, conflict, worth",spelldoctor
0,6151,"zz-feeling, sensation, beauty",spelldoctor
0,6152,"zz-upper air, clear sky","upper air, clear sky"
0,6153,zz-school where Plato taught,spelldoctor
0,6154,zz-very small amount,spelldoctor
0,6155,"zz-top, height, tip, end, extreme; point",spelldoctor
0,7557,"zz-pain, grief, distress",spelldoctor
0,6157,"zz-one another, of one another, different",spelldoctor
0,6158,zz-compound derived from ammonia; from the Egyptian God Ammon,spelldoctor
0,6159,"zz-both, on both sides, around, two ways",spelldoctor
0,6160,zz-man,spelldoctor
0,6161,zz-blood vessel,spelldoctor
0,6162,zz-messenger,spelldoctor
0,6163,zz-flower,spelldoctor
0,6164,"zz-human, man, ape, monkey",spelldoctor
0,6165,"zz-chief, most important, rule, begin, origin, ancient",spelldoctor
0,6166,zz-best,spelldoctor
0,7930,"zz-raise, lift, things high up",spelldoctor
0,6169,"zz-joint; to divide into small joints, speak clearly",spelldoctor
0,6170,"zz-star, stars, outer space",spelldoctor
0,6171,"zz-contest, contestant",spelldoctor
0,6172,"zz-self, same, one",spelldoctor
0,6173,"zz-rod, bar, stick, little rod",spelldoctor
0,6174,zz-beard,spelldoctor
0,6175,"zz-rail, barrier, bar",spelldoctor
0,6176,"zz-low, short",spelldoctor
0,6177,"zz-beat, pound, strike",spelldoctor
0,6178,"zz-war, fighting, contention",spelldoctor
0,6180,"zz-pretty, handsome, charming",spelldoctor
0,6181,"zz-good, well",spelldoctor
0,6182,zz-beast,spelldoctor
0,6183,"zz-drink, absorb, pour, soak",spelldoctor
0,6184,"zz-scold, reprimand, castigate",spelldoctor
0,6185,"zz-good, worthy, excellent",spelldoctor
0,6186,"zz-arm, upper arm, short",spelldoctor
0,6187,zz-curly,spelldoctor
0,6188,"zz-pointed stick, spike, projected",spelldoctor
0,6189,"zz-mouth, cheek",spelldoctor
0,6190,"zz-bubble, boil, stir, round object, sealed document, official paper",spelldoctor
0,6191,"zz-bag, purse, treasurer, hide, skin, wineskin",spelldoctor
0,6192,"zz-bush, wood",spelldoctor
0,6193,"zz-rebuke, condemn, criticize",spelldoctor
0,6194,"zz-throw, cast, dance, throw oneself around",spelldoctor
0,6195,"zz-foreign, non-Greek",spelldoctor
0,6196,"zz-pressure, weight",spelldoctor
0,6197,zz-king,spelldoctor
0,6198,"zz-foundation, base; to go, walk, step, tread",spelldoctor
0,6199,"zz-deep, depth, bottom",spelldoctor
0,6200,zz-book,spelldoctor
0,6201,"zz-life, living matter",spelldoctor
0,6202,"zz-a humming, booming",spelldoctor
0,6203,"zz-ox, cow, bull, cow cheese, butter",spelldoctor
0,6204,"zz-horse, mount",spelldoctor
0,6205,"zz-fall, die, happen",spelldoctor
0,6206,"zz-cut, kill, shorten",spelldoctor
0,6207,zz-sky,spelldoctor
0,6208,"zz-tread underfoot, track, press; heel",spelldoctor
0,6209,"zz-to be warm, hot; stoke",spelldoctor
0,6210,zz-servant,spelldoctor
1,7536,"zz-shout, speak out, cry, declare, announce, first day of the month",spelldoctor
0,6211,"zz-to contrive false accusations, find fault, jeer, scoff",spelldoctor
0,6212,"zz-pebble, limestone, chalk",spelldoctor
0,6213,"zz-room, chamber",spelldoctor
0,6214,"zz-barter, exchange",spelldoctor
0,6215,"zz-plain, field",spelldoctor
0,6216,"zz-gridwork of bars, barrier, lattice",spelldoctor
0,6217,"zz-cancer, tumor, malignant disease, sore",spelldoctor
0,6219,"zz-white, shine, hot, clear, unambiguous, set fire to",spelldoctor
0,6220,zz-dog,spelldoctor
0,6221,"zz-sing, singing, song, hymn, spell, poem",spelldoctor
0,6222,"zz-goat, resembling a goat; unpredictable",spelldoctor
0,6223,zz-hair,spelldoctor
0,6224,"zz-take, hold, seize, catch, accept, obtain, receive, grasp, keep",spelldoctor
0,6225,"zz-take, seize, catch, accept, obtain, receive, grasp, learn, keep",spelldoctor
0,6226,"zz-container, small box, chest",spelldoctor
0,6227,"zz-hood, hooded cloak",spelldoctor
0,6228,"zz-head, summit, source, leader",spelldoctor
0,6229,"zz-head, summit, source, main, origin, leader, capital",spelldoctor
0,6230,"zz-charcoal, glowing coal",spelldoctor
0,6232,"zz-select, pluck, pick, seize",spelldoctor
0,6233,"zz-wagon, cart; load",spelldoctor
0,6234,zz-dear; affection,spelldoctor
0,6239,"zz-refuge, stronghold, fortified place, camp",spelldoctor
0,6240,"zz-pure, without stain, separated; punish",spelldoctor
0,6241,"zz-chain, link",spelldoctor
0,6242,"zz-tail, line",spelldoctor
0,6243,"zz-reason, motive, charge, find fault, oppose, reject",spelldoctor
0,6244,"zz-beware of, take care",spelldoctor
0,6245,"zz-hollow, dungeon, cage, coop, hive",spelldoctor
0,6246,"zz-go, move, yield, withdraw, come to an end",spelldoctor
0,6247,"zz-fast, swift, speedy",spelldoctor
0,6248,"zz-hide, hidden, that which covers, hue, eyebrow, storeroom, chamber",spelldoctor
0,6249,"zz-assess, judge, tax, rate",spelldoctor
0,6250,"zz-hundred, hundredth",spelldoctor
0,6251,zz-brain,spelldoctor
0,6252,"zz-sift, perceive, separate, decide, judge, accuse, offense, crime",spelldoctor
0,6254,"zz-compete, strive, contend, fight",spelldoctor
0,6255,"zz-sheet of paper, map, paper for writing",spelldoctor
0,6256,zz-the art of combining base metals,spelldoctor
0,6257,"zz-zero, empty",spelldoctor
0,6261,"zz-gird, surround",spelldoctor
0,6259,"zz-ring, circle, wheel, round, around, about",spelldoctor
0,6262,"zz-set in motion, speak, quote, summon",spelldoctor
0,6263,zz-inhabitant of a town; community of citizens,spelldoctor
0,6264,zz-press down,spelldoctor
0,6265,"zz-clear, bright; to reveal, show",spelldoctor
0,6266,"zz-fleet, rank, grade, group",spelldoctor
0,6267,"zz-close, shut",spelldoctor
0,6268,zz-key,spelldoctor
0,6269,"zz-mercy, mildness, calmness",spelldoctor
0,6270,"zz-slope, hill",spelldoctor
0,6271,"zz-ancient book, book of laws",spelldoctor
0,6272,"zz-enclosed yard, courtyard, garden, retinue, group of people",spelldoctor
0,6273,"zz-filter, strain",spelldoctor
0,6274,"zz-neck, collar of a dress",spelldoctor
0,6275,"zz-settler, farmer, inhabit, develop, grow, till, maintain, revere",spelldoctor
0,6276,"zz-projecting object, top, summit",spelldoctor
0,8339,"zz-think, suppose, imagine",spelldoctor
0,6278,"zz-join, win over, make friendly, unite in feelings; public gathering",spelldoctor
0,6279,"zz-hide, put away, preserve, season, construct",spelldoctor
0,6280,"zz-to come together, agree, fit, suit, accord",spelldoctor
0,6281,"zz-opposite, contrary, against",spelldoctor
0,6282,"zz-plenty, wealth, abundance",spelldoctor
0,6283,"zz-cook, ripen; room for cooking, cooking stove",spelldoctor
0,6285,"zz-hide, leather, skin; thong, shoelace",spelldoctor
0,6286,"zz-horn, point",spelldoctor
0,6287,"zz-crown, wreath, garland, gratuity",spelldoctor
0,6288,zz-body,spelldoctor
0,6289,"zz-bark, rind, shell, husk",spelldoctor
0,6290,"zz-rib, flank, side",spelldoctor
0,6291,"zz-lattice, wickerwork, hurdle",spelldoctor
0,6292,"zz-believe, trust",spelldoctor
0,6293,"zz-make, produce, create, cause, pure, clean, whole, genuine, untainted",spelldoctor
0,6294,"zz-burst, crack, rattle, break",spelldoctor
0,6295,"zz-grow, arise, appear, multiply, increase",spelldoctor
0,6296,zz-hook,spelldoctor
0,6297,"zz-bloody, raw, undigested, rough, flesh, raw meat, cruel",spelldoctor
0,6298,zz-cross,spelldoctor
0,6299,"zz-lie down, lie asleep, recline at a table, rest, go to sleep",spelldoctor
0,6300,"zz-fault, blame, guilt",spelldoctor
0,6301,"zz-heap, pile, obstacle",spelldoctor
0,6302,zz-wedge,spelldoctor
0,6303,"zz-barrel, vat, cask, tub, drinking container",spelldoctor
0,6304,"zz-wish, want, desire, long for",spelldoctor
0,6305,"zz-care, take care of, care for, care about, supervise, protect, free from care",spelldoctor
0,6306,"zz-run, hurry, go on, continue",spelldoctor
0,6307,zz-sharp-pointed rod,spelldoctor
0,6308,"zz-bent, curved, grown awry",spelldoctor
0,6312,"zz-loss, penalty, injury; declare guilty",spelldoctor
0,6313,"zz-owe, ought",spelldoctor
0,6314,"zz-ten, tenth",spelldoctor
0,6315,"zz-adorn, grace, glorify; suitable, proper, graceful",spelldoctor
0,6316,"zz-destroy, destroyer, wipe out",spelldoctor
0,6318,"zz-thick, dense, crowded",spelldoctor
0,6319,"zz-divine, god, deity, Jupiter, Zeus",spelldoctor
0,6320,zz-right,spelldoctor
0,6329,"zz-speak, say, tell, show, reveal, proclaim, sample, pattern, proof",spelldoctor
0,6322,"zz-day, pertaining to the day, daily",spelldoctor
0,6323,zz-finger,spelldoctor
0,6324,"zz-worthy, deserving; to deem worthy, fitness, importance",spelldoctor
0,6325,"zz-separate into parts, divide",spelldoctor
0,6326,"zz-give, gift, grant, decree, place, put, attach to, add",spelldoctor
0,6327,"zz-teach; a particular teaching, a branch of learning",spelldoctor
0,6328,"zz-tooth, notch",spelldoctor
0,7973,"zz-feel pain, grieve, suffer",spelldoctor
0,6331,"zz-master, mistress",spelldoctor
0,6332,"zz-tame, subdue",spelldoctor
0,6333,"zz-house, home",spelldoctor
0,6335,zz-back,spelldoctor
0,6336,"zz-dragon, snake, serpent, severe, harsh",spelldoctor
0,6337,"zz-play, drama, to be performed, to be done",spelldoctor
0,6338,"zz-lead, leader, bring",spelldoctor
0,6339,zz-sweet,spelldoctor
0,6340,"zz-harden, to last, survive, harsh",spelldoctor
0,6341,"zz-spirit, divine power",spelldoctor
0,6342,"zz-finger, toe",spelldoctor
0,6343,"zz-terrible, monstrous",spelldoctor
0,6344,zz-people,spelldoctor
0,6345,"zz-tree, oak",spelldoctor
0,6349,"zz-quoit, disk, discus, table",spelldoctor
0,6350,"zz-opinion, belief, glory",spelldoctor
0,6351,"zz-a course, running, race",spelldoctor
0,6353,"zz-abnormal, bad, difficult",spelldoctor
0,6354,zz-drunk,spelldoctor
0,6355,zz-eat,spelldoctor
0,6356,"zz-self, I",spelldoctor
0,6357,"zz-component, particle, rudiment, beginning",spelldoctor
0,6358,"zz-buy, buy back, take, taken out, gain, ready, reward",spelldoctor
0,6359,"zz-go, pass, journey",spelldoctor
0,6360,"zz-horse, horse hair",spelldoctor
0,6361,"zz-wander, make a mistake",spelldoctor
0,6362,"zz-test, tested; try, attempt, attack, danger",spelldoctor
0,6363,"zz-beyond, outside; outward, end, edge",spelldoctor
0,6364,"zz-from, out of; outside of",spelldoctor
0,6365,"zz-image, statue, portrait, semblance",spelldoctor
0,6366,zz-amber,spelldoctor
0,6367,"zz-blossom, to swell, young one, to be full",spelldoctor
0,6368,"zz-solitary, lonely, desert",spelldoctor
0,6369,zz-work,spelldoctor
0,6370,"zz-love, desire",spelldoctor
0,6371,"zz-custom, habit, character, disposition",spelldoctor
0,6372,"zz-good, well, normal; happy, pleasing",spelldoctor
0,6373,"zz-art, craft, workshop, smith, artisan, workman",spelldoctor
0,6374,"zz-face, form, surface",spelldoctor
0,6375,"zz-make, do, put, build, create, work, accomplish",spelldoctor
0,6376,"zz-make, do, put, build, create, accomplish, work, supply, be adequate",spelldoctor
0,6377,"zz-trick, deceive, be in error",spelldoctor
0,6378,"zz-reputation, rumor, report, public opinion, renown",spelldoctor
0,6379,"zz-household, personal group, well known",spelldoctor
0,6380,"zz-grain, meal, flour",spelldoctor
0,6381,"zz-bundle, rod of power, magistrate",spelldoctor
0,6382,"zz-confess, admit, acknowledge, speak",spelldoctor
0,6384,"zz-foolish, silly, insipid, become weak",spelldoctor
0,6385,"zz-well-disposed towards, support",spelldoctor
0,6386,zz-fever,spelldoctor
0,6387,"zz-happy, lucky",spelldoctor
0,6388,"zz-woman, fruitful, pregnancy, unborn offspring",spelldoctor
0,6389,"zz-ward off, strike, displease",spelldoctor
0,6390,"zz-bring, carry, bear, set, trace",spelldoctor
0,6391,zz-iron,spelldoctor
0,6392,"zz-wild, savage, cruel",spelldoctor
0,6393,"zz-boil, glow, hot; yeast",spelldoctor
0,6394,"zz-temple; a feast, merrymaking, holiday",spelldoctor
0,6395,"zz-trust, safe, faith, belief; treaty, league",spelldoctor
0,6396,"zz-fasten, nail, secure, attach, clasp, pierce, stare at",spelldoctor
0,6397,zz-son or daughter,spelldoctor
0,6398,"zz-thread, string",spelldoctor
0,6399,"zz-cleave, split",spelldoctor
0,6400,"zz-pretend, invent, forge, shape, form",spelldoctor
0,6401,"zz-end, last, limit, set bounds, boundary, border, count",spelldoctor
0,6402,"zz-strong, stable, immovable",spelldoctor
0,6404,"zz-purse, treasury",spelldoctor
0,6405,"zz-burn, flame, heat, inflammation, body fluid",spelldoctor
0,6406,zz-bend,spelldoctor
0,6407,"zz-lamentable, doleful, pathetic",spelldoctor
0,6408,zz-strike down,spelldoctor
0,6409,"zz-blow, exhale, play a pipe",spelldoctor
0,6410,"zz-flower, blossom, zenith",spelldoctor
0,6411,"zz-flow, stream, wave, undulating movement",spelldoctor
0,6412,"zz-hearth, fireplace, fire",spelldoctor
0,6413,"zz-leaf, sheet",spelldoctor
0,6414,"zz-bellows, inflated ball, windbag",spelldoctor
0,6415,"zz-story, talk, speak, tell, prophecy, destiny",spelldoctor
0,6416,"zz-shape, structure, outer appearance",spelldoctor
0,6417,"zz-strong, vigorous, powerful",spelldoctor
0,6418,"zz-chance, fate, luck",spelldoctor
0,6419,"zz-timid, fearful",spelldoctor
0,7524,"zz-marketplace, public, outside, assembly",spelldoctor
0,6420,"zz-break, crush, shout, mitigate",spelldoctor
0,6422,"zz-to check, curb, control, to hold in with a bridle",spelldoctor
0,6423,"zz-crowded, repeated, constant",spelldoctor
0,6424,zz-to be cold,spelldoctor
0,6425,"zz-forehead, foremost part",spelldoctor
0,6426,"zz-bear fruit, enjoy, profit by; thrifty",spelldoctor
0,6427,"zz-flee, run away, escape",spelldoctor
0,6428,"zz-shine, flash, lightning",spelldoctor
0,6429,zz-smoke,spelldoctor
0,6430,"zz-pour out, leak, melt, fuse, mix, spread",spelldoctor
0,6431,"zz-bottom, depths, basis",spelldoctor
0,6433,"zz-funeral, burial",spelldoctor
0,6434,"zz-perform, work, operate",spelldoctor
0,6435,"zz-theft, thief, little thief",spelldoctor
0,6436,zz-fork,spelldoctor
0,6437,"zz-rage, be mad",spelldoctor
0,6438,"zz-to suppress, rebut, beat; club, stick, staff",spelldoctor
0,6450,"zz-rejoice, be glad, exult",spelldoctor
0,6451,"zz-freeze, turn to ice; snow, cold",spelldoctor
0,6452,"zz-gem, bud",spelldoctor
0,6453,zz-twins,spelldoctor
0,6454,zz-sheath,spelldoctor
0,6455,"zz-bear, bring, carry, heap up, wear, perform, record",spelldoctor
0,7525,"zz-race, kind, type, class, kin, birth, creation, sex, produce, offspring",spelldoctor
0,6459,zz-tear to pieces,spelldoctor
0,6460,"zz-inherent talent, inborn talent, clever device",spelldoctor
0,6463,"zz-sprout, birth, bring, bear",spelldoctor
0,6464,zz-ice,spelldoctor
0,6465,zz-sword,spelldoctor
0,6466,"zz-sphere, somewhat spherical mass",spelldoctor
0,6467,"zz-gather into ball-shaped mass, accumulate",spelldoctor
0,6468,"zz-honor, praise",spelldoctor
0,6469,"zz-paste, sticky substance",spelldoctor
0,6470,"zz-swallow, gulp down",spelldoctor
0,7635,"zz-know, think, learn; wise, well-known",spelldoctor
0,6472,"zz-step, move, go, degree",spelldoctor
0,6473,"zz-great, old, grown up, lofty, powerful",spelldoctor
0,6474,"zz-grain, seed",spelldoctor
0,6475,"zz-pleasing, beloved, dear, thankful, welcome, favor; voluntary",spelldoctor
0,6476,"zz-heavy, serious, burdened",spelldoctor
0,6477,"zz-flock, herd",spelldoctor
0,6478,"zz-large, bulky, thick",spelldoctor
0,6480,"zz-guide, steer the ship",spelldoctor
0,6481,"zz-gullet, throat, appetite, swallow",spelldoctor
0,6482,zz-taste,spelldoctor
0,6483,zz-drop,spelldoctor
0,6484,"zz-marriage, husband, wife",spelldoctor
0,6485,zz-stomach,spelldoctor
0,6486,"zz-earth, land, soil",spelldoctor
0,6487,"zz-old age, old man",spelldoctor
0,6488,"zz-the tongue, language",spelldoctor
0,6489,"zz-sweet, sugar",spelldoctor
0,6490,zz-to carve,spelldoctor
0,6492,"zz-letters, written, writing, recording; small weight",spelldoctor
0,6493,"zz-naked, unclad",spelldoctor
0,6494,zz-woman,spelldoctor
0,6495,"zz-ring, circle; turning, spinning, whirling, bend, circular motion",spelldoctor
0,6496,"zz-suitable, fit, dwell; have, hold, handy, handle",spelldoctor
0,6497,"zz-stick, cling, hold",spelldoctor
0,6498,zz-breathe,spelldoctor
0,6500,"zz-successor, one who receives goods via a will",spelldoctor
0,6501,"zz-cheerful, joyful, good spirits",spelldoctor
0,6503,"zz-honor, esteem, repute",spelldoctor
0,6504,"zz-tremble, dread, shudder, bristle",spelldoctor
0,6505,"zz-urge, encourage",spelldoctor
0,6506,"zz-guest, host",spelldoctor
0,6508,"zz-to be moist, be wet",spelldoctor
0,6509,"zz-earth, ground, bury; low, lowly",spelldoctor
0,6510,zz-choose,spelldoctor
0,6511,"zz-to bind, fasten, touch",spelldoctor
0,6512,"zz-harmony, agreement, concord, joining, proportion",spelldoctor
0,6513,zz-pleasure,spelldoctor
0,6514,"zz-chair, seat, base, side",spelldoctor
0,6515,zz-hundred,spelldoctor
0,6516,"zz-spiral, circular",spelldoctor
0,6518,zz-day,spelldoctor
0,6519,zz-half,spelldoctor
0,6520,zz-one,spelldoctor
0,6521,zz-liver,spelldoctor
0,6522,"zz-protector, hero",spelldoctor
0,6523,"zz-different, other, unlike",spelldoctor
0,6524,zz-six,spelldoctor
0,6525,zz-horse,spelldoctor
0,6526,"zz-past events, historical narrative; inquire into, examine",spelldoctor
0,6527,zz-tissue,spelldoctor
0,6528,"zz-way, road, journey, a going",spelldoctor
0,6529,"zz-whole, entire",spelldoctor
0,6530,"zz-like, alike, same, crowd",spelldoctor
0,6531,"zz-hour, time, season",spelldoctor
0,7366,"zz-sight, view, a place for seeing; a looking at, observing",spelldoctor
0,6533,"zz-boundary, bound, divide, mark off",spelldoctor
0,6535,"zz-matter, substance, stuff",spelldoctor
0,6536,"zz-slumber, sleep",spelldoctor
0,6539,"zz-throw, send forth, lie down, be situated, comfort, well-being",spelldoctor
0,6540,"zz-door, gate, endings and beginnings",spelldoctor
0,6541,zz-same,spelldoctor
0,6542,"zz-power, lord, to be able",symmes
0,6545,zz-blood,spelldoctor
0,6546,zz-seven,spelldoctor
0,6547,"zz-fire, burn",spelldoctor
0,6548,"zz-image, likeness, copy, comparable with",spelldoctor
0,6549,"zz-underneath, lower, below; hell, the underworld",spelldoctor
0,6550,"zz-to renew, rebuild, refresh",spelldoctor
0,6551,zz-island,spelldoctor
0,6552,"zz-hiss, whistle",spelldoctor
0,8310,"zz-sell, trade, barter",spelldoctor
0,6553,"zz-to entice, incite",spelldoctor
0,6554,"zz-jest, joke, little joke, tricks, child's play, game",spelldoctor
0,6555,zz-again,spelldoctor
0,6556,"zz-healer, medical care",spelldoctor
